날짜,시간,경기,구장,득점0,득점1
05.31(Sat),05:10,NYMvsCOL,Citi Field,8,2
05.31(Sat),05:10,HOUvsTB,Daikin Park,3,16
05.31(Sat),05:10,ATLvsBOS,Truist Park,5,0
05.31(Sat),05:10,MIAvsSF,loanDepot park,1,0
05.31(Sat),08:15,SEAvsMIN,T-Mobile Park,5,4
05.31(Sat),08:15,LADvsNYY,Dodger Stadium,18,2
05.31(Sat),10:40,SDvsPIT,Petco Park,0,5
05.31(Sat),11:10,ARIvsWSH,Chase Field,7,11
06.01(Sun),02:05,TEXvsSTL,Globe Life Field,8,1
06.01(Sun),02:35,ATLvsBOS,Truist Park,1,3
06.01(Sun),02:35,BALvsCWS,Oriole Park at Camden Yards,3,2
06.01(Sun),02:35,PHIvsMIL,Citizens Bank Park,2,5
06.01(Sun),02:37,TORvsOAK,Rogers Centre,8,4
06.01(Sun),02:40,CLEvsLAA,Progressive Field,4,2
06.01(Sun),02:40,NYMvsCOL,Citi Field,5,3
06.01(Sun),02:40,MIAvsSF,loanDepot park,2,4
06.01(Sun),03:10,KCvsDET,Kauffman Stadium,0,1
06.01(Sun),03:10,HOUvsTB,Daikin Park,1,0
06.01(Sun),03:20,CHCvsCIN,Wrigley Field,7,3
06.01(Sun),05:10,ARIvsWSH,Chase Field,3,1
06.01(Sun),05:10,SEAvsMIN,T-Mobile Park,2,1
06.01(Sun),06:10,SDvsPIT,Petco Park,6,4
06.01(Sun),08:10,LADvsNYY,Dodger Stadium,3,7
06.02(Mon),07:40,MIAvsCOL,loanDepot park,4,6
06.02(Mon),08:10,BOSvsLAA,Fenway Park,6,7
06.02(Mon),08:10,CINvsMIL,Great American Ball Park,2,3
06.02(Mon),08:40,CWSvsDET,Rate Field,1,13
06.02(Mon),10:45,SFvsSD,Oracle Park,0,1
06.02(Mon),11:05,OAKvsMIN,Sutter Health Park,4,10
06.02(Mon),11:10,LADvsNYM,Dodger Stadium,3,4
06.03(Tue),07:40,PITvsHOU,PNC Park,0,3
06.03(Tue),07:40,MIAvsCOL,loanDepot park,2,3
06.03(Tue),07:45,WSHvsCHC,Nationals Park,3,8
06.03(Tue),08:05,NYYvsCLE,Yankee Stadium,3,2
06.03(Tue),08:07,TORvsPHI,Rogers Centre,3,8
06.03(Tue),08:10,BOSvsLAA,Fenway Park,3,4
06.03(Tue),08:10,CINvsMIL,Great American Ball Park,4,2
06.03(Tue),08:15,ATLvsARI,Truist Park,3,8
06.03(Tue),08:35,TBvsTEX,George M. Steinbrenner Field,5,1
06.03(Tue),08:40,CWSvsDET,Rate Field,8,1
06.03(Tue),08:45,STLvsKC,Busch Stadium,7,10
06.03(Tue),10:40,SEAvsBAL,T-Mobile Park,1,5
06.03(Tue),10:45,SFvsSD,Oracle Park,2,3
06.03(Tue),11:05,OAKvsMIN,Sutter Health Park,3,10
06.03(Tue),11:10,LADvsNYM,Dodger Stadium,6,5
06.04(Wed),01:10,MIAvsCOL,loanDepot park,2,3
06.04(Wed),01:40,CINvsMIL,Great American Ball Park,1,9
06.04(Wed),02:35,BOSvsLAA,Fenway Park,11,9
06.04(Wed),07:40,PITvsHOU,PNC Park,3,0
06.04(Wed),07:45,WSHvsCHC,Nationals Park,2,0
06.04(Wed),08:05,NYYvsCLE,Yankee Stadium,0,4
06.04(Wed),08:07,TORvsPHI,Rogers Centre,2,1
06.04(Wed),08:15,ATLvsARI,Truist Park,1,2
06.04(Wed),08:35,TBvsTEX,George M. Steinbrenner Field,5,4
06.04(Wed),08:40,CWSvsDET,Rate Field,4,5
06.04(Wed),10:40,SEAvsBAL,T-Mobile Park,2,3
06.04(Wed),10:45,SFvsSD,Oracle Park,6,5
06.04(Wed),11:05,OAKvsMIN,Sutter Health Park,1,6
06.04(Wed),11:10,LADvsNYM,Dodger Stadium,1,6
06.04(Wed),02:45,STLvsKC,Busch Stadium,-,-
06.05(Thu),01:15,ATLvsARI,Truist Park,10,11
06.05(Thu),02:45,STLvsKC,Busch Stadium,6,5
06.05(Thu),08:45,STLvsKC,Busch Stadium,5,7
06.05(Thu),03:10,CWSvsDET,Rate Field,3,2
06.05(Thu),04:07,TORvsPHI,Rogers Centre,9,1
06.05(Thu),04:35,OAKvsMIN,Sutter Health Park,14,3
06.05(Thu),04:40,SEAvsBAL,T-Mobile Park,3,4
06.05(Thu),04:45,SFvsSD,Oracle Park,3,2
06.05(Thu),05:10,LADvsNYM,Dodger Stadium,6,5
06.05(Thu),07:40,PITvsHOU,PNC Park,2,8
06.05(Thu),07:45,WSHvsCHC,Nationals Park,1,7
06.05(Thu),08:05,NYYvsCLE,Yankee Stadium,4,0
06.05(Thu),08:35,TBvsTEX,George M. Steinbrenner Field,4,3
06.06(Fri),02:10,TBvsMIA,George M. Steinbrenner Field,4,3
06.06(Fri),07:40,PITvsPHI,PNC Park,5,4
06.06(Fri),07:45,WSHvsTEX,Nationals Park,2,0
06.06(Fri),08:05,NYYvsBOS,Yankee Stadium,9,6
06.06(Fri),08:10,CINvsARI,Great American Ball Park,4,3
06.06(Fri),08:10,DETvsCHC,Comerica Park,3,1
06.06(Fri),08:10,CLEvsHOU,Progressive Field,2,4
06.06(Fri),08:40,CWSvsKC,Rate Field,7,2
06.06(Fri),09:10,MINvsTOR,Target Field,4,6
06.06(Fri),09:10,MILvsSD,American Family Field,0,2
06.06(Fri),09:15,STLvsLAD,Busch Stadium,5,0
06.06(Fri),09:40,COLvsNYM,Coors Field,2,4
06.06(Fri),10:38,LAAvsSEA,Angel Stadium,5,4
06.06(Fri),11:05,OAKvsBAL,Sutter Health Park,5,4
06.06(Fri),11:15,SFvsATL,Oracle Park,5,4
06.07(Sat),02:10,DETvsCHC,Comerica Park,1,6
06.07(Sat),03:10,CINvsARI,Great American Ball Park,4,3
06.07(Sat),03:10,MINvsTOR,Target Field,4,5
06.07(Sat),03:15,STLvsLAD,Busch Stadium,2,1
06.07(Sat),05:05,WSHvsTEX,Nationals Park,0,5
06.07(Sat),05:05,PITvsPHI,PNC Park,2,1
06.07(Sat),05:05,SFvsATL,Oracle Park,3,2
06.07(Sat),05:10,CINvsARI,Great American Ball Park,13,1
06.07(Sat),05:10,CLEvsHOU,Progressive Field,3,5
06.07(Sat),05:10,CWSvsKC,Rate Field,4,1
06.07(Sat),05:10,TBvsMIA,George M. Steinbrenner Field,10,11
06.07(Sat),08:35,NYYvsBOS,Yankee Stadium,7,10
06.07(Sat),08:35,MILvsSD,American Family Field,4,3
06.07(Sat),10:38,LAAvsSEA,Angel Stadium,8,6
06.07(Sat),10:40,COLvsNYM,Coors Field,1,8
06.07(Sat),11:05,OAKvsBAL,Sutter Health Park,4,7
06.08(Sun),01:10,TBvsMIA,George M. Steinbrenner Field,3,2
06.08(Sun),02:05,MILvsSD,American Family Field,0,1
06.08(Sun),02:35,WSHvsTEX,Nationals Park,2,4
06.08(Sun),02:35,PITvsPHI,PNC Park,2,1
06.08(Sun),02:40,CINvsARI,Great American Ball Park,4,2
06.08(Sun),02:40,DETvsCHC,Comerica Park,4,0
06.08(Sun),02:40,CLEvsHOU,Progressive Field,4,2
06.08(Sun),03:10,MINvsTOR,Target Field,6,3
06.08(Sun),03:10,CWSvsKC,Rate Field,5,7
06.08(Sun),03:15,STLvsLAD,Busch Stadium,3,7
06.08(Sun),04:10,COLvsNYM,Coors Field,5,13
06.08(Sun),05:05,OAKvsBAL,Sutter Health Park,5,1
06.08(Sun),05:05,SFvsATL,Oracle Park,4,3
06.08(Sun),05:07,LAAvsSEA,Angel Stadium,2,3
06.08(Sun),08:10,NYYvsBOS,Yankee Stadium,7,11
06.09(Mon),07:40,CLEvsCIN,Progressive Field,4,7
06.09(Mon),07:40,PITvsMIA,PNC Park,10,3
06.09(Mon),07:45,PHIvsCHC,Citizens Bank Park,4,3
06.09(Mon),08:10,BOSvsTB,Fenway Park,8,10
06.09(Mon),08:40,MILvsATL,American Family Field,1,7
06.09(Mon),08:45,STLvsTOR,Busch Stadium,4,5
06.09(Mon),10:38,LAAvsOAK,Angel Stadium,7,4
06.09(Mon),10:40,SDvsLAD,Petco Park,7,8
06.09(Mon),10:40,ARIvsSEA,Chase Field,8,4
06.10(Tue),07:35,BALvsDET,Oriole Park at Camden Yards,3,5
06.10(Tue),07:40,CLEvsCIN,Progressive Field,0,1
06.10(Tue),07:40,PITvsMIA,PNC Park,2,3
06.10(Tue),07:45,PHIvsCHC,Citizens Bank Park,4,8
06.10(Tue),08:10,NYMvsWSH,Citi Field,5,4
06.10(Tue),08:10,BOSvsTB,Fenway Park,3,1
06.10(Tue),08:40,MINvsTEX,Target Field,4,16
06.10(Tue),08:40,KCvsNYY,Kauffman Stadium,2,10
06.10(Tue),08:40,MILvsATL,American Family Field,4,1
06.10(Tue),08:45,STLvsTOR,Busch Stadium,9,10
06.10(Tue),09:10,HOUvsCWS,Daikin Park,2,4
06.10(Tue),09:40,COLvsSF,Coors Field,5,6
06.10(Tue),10:38,LAAvsOAK,Angel Stadium,2,1
06.10(Tue),10:40,SDvsLAD,Petco Park,11,1
06.10(Tue),10:40,ARIvsSEA,Chase Field,10,3
06.11(Wed),01:35,PITvsMIA,PNC Park,5,2
06.11(Wed),02:05,PHIvsCHC,Citizens Bank Park,7,2
06.11(Wed),02:10,CLEvsCIN,Progressive Field,11,2
06.11(Wed),03:10,MILvsATL,American Family Field,2,6
06.11(Wed),03:15,STLvsTOR,Busch Stadium,2,5
06.11(Wed),04:40,ARIvsSEA,Chase Field,5,2
06.11(Wed),05:07,LAAvsOAK,Angel Stadium,6,5
06.11(Wed),05:10,SDvsLAD,Petco Park,2,5
06.11(Wed),07:35,BALvsDET,Oriole Park at Camden Yards,10,1
06.11(Wed),08:10,NYMvsWSH,Citi Field,5,0
06.11(Wed),08:10,BOSvsTB,Fenway Park,4,3
06.11(Wed),08:40,MINvsTEX,Target Field,6,2
06.11(Wed),08:40,KCvsNYY,Kauffman Stadium,3,6
06.11(Wed),09:10,HOUvsCWS,Daikin Park,10,2
06.11(Wed),09:40,COLvsSF,Coors Field,7,10
06.12(Thu),02:10,NYMvsWSH,Citi Field,4,3
06.12(Thu),02:10,MINvsTEX,Target Field,3,16
06.12(Thu),04:10,COLvsSF,Coors Field,8,7
06.12(Thu),07:35,BALvsDET,Oriole Park at Camden Yards,1,4
06.12(Thu),08:40,KCvsNYY,Kauffman Stadium,0,1
06.12(Thu),08:40,MILvsSTL,American Family Field,6,0
06.12(Thu),09:05,CHCvsPIT,Wrigley Field,3,2
06.12(Thu),09:10,HOUvsCWS,Daikin Park,4,3
06.13(Fri),03:20,CHCvsPIT,Wrigley Field,1,2
06.13(Fri),07:45,PHIvsTOR,Citizens Bank Park,8,0
06.13(Fri),07:45,WSHvsMIA,Nationals Park,9,11
06.13(Fri),08:08,BALvsLAA,Oriole Park at Camden Yards,2,0
06.13(Fri),08:10,DETvsCIN,Comerica Park,11,5
06.13(Fri),08:10,NYMvsTB,Citi Field,5,7
06.13(Fri),08:10,BOSvsNYY,Fenway Park,2,1
06.13(Fri),08:15,ATLvsCOL,Truist Park,12,4
06.13(Fri),09:05,TEXvsCWS,Globe Life Field,3,1
06.13(Fri),09:10,KCvsOAK,Kauffman Stadium,4,6
06.13(Fri),09:10,HOUvsMIN,Daikin Park,10,3
06.13(Fri),09:10,MILvsSTL,American Family Field,3,2
06.13(Fri),10:40,ARIvsSD,Chase Field,5,1
06.13(Fri),11:10,SEAvsCLE,T-Mobile Park,7,2
06.13(Fri),11:10,LADvsSF,Dodger Stadium,2,6
06.14(Sat),02:05,WSHvsMIA,Nationals Park,3,4
06.14(Sat),02:10,DETvsCIN,Comerica Park,1,11
06.14(Sat),03:20,CHCvsPIT,Wrigley Field,2,1
06.14(Sat),05:05,BALvsLAA,Oriole Park at Camden Yards,6,5
06.14(Sat),05:05,PHIvsTOR,Citizens Bank Park,3,2
06.14(Sat),05:05,TEXvsCWS,Globe Life Field,5,4
06.14(Sat),05:10,KCvsOAK,Kauffman Stadium,0,4
06.14(Sat),05:10,NYMvsTB,Citi Field,4,8
06.14(Sat),05:10,HOUvsMIN,Daikin Park,3,2
06.14(Sat),05:10,ATLvsCOL,Truist Park,4,1
06.14(Sat),05:10,MILvsSTL,American Family Field,5,8
06.14(Sat),08:15,ARIvsSD,Chase Field,8,7
06.14(Sat),08:15,BOSvsNYY,Fenway Park,4,3
06.14(Sat),10:40,SEAvsCLE,T-Mobile Park,4,3
06.14(Sat),11:10,LADvsSF,Dodger Stadium,11,5
06.15(Sun),01:05,DETvsCIN,Comerica Park,4,8
06.15(Sun),02:35,BALvsLAA,Oriole Park at Camden Yards,11,2
06.15(Sun),02:35,PHIvsTOR,Citizens Bank Park,11,4
06.15(Sun),02:35,ATLvsCOL,Truist Park,1,10
06.15(Sun),02:35,WSHvsMIA,Nationals Park,1,3
06.15(Sun),02:35,BOSvsNYY,Fenway Park,2,0
06.15(Sun),02:40,NYMvsTB,Citi Field,0,9
06.15(Sun),03:10,KCvsOAK,Kauffman Stadium,2,3
06.15(Sun),03:10,HOUvsMIN,Daikin Park,2,1
06.15(Sun),03:10,MILvsSTL,American Family Field,3,2
06.15(Sun),03:20,CHCvsPIT,Wrigley Field,3,2
06.15(Sun),03:35,TEXvsCWS,Globe Life Field,2,1
06.15(Sun),05:10,ARIvsSD,Chase Field,2,8
06.15(Sun),05:10,SEAvsCLE,T-Mobile Park,6,0
06.15(Sun),08:10,LADvsSF,Dodger Stadium,5,4
06.16(Mon),07:40,MIAvsPHI,loanDepot park,2,5
06.16(Mon),07:45,WSHvsCOL,Nationals Park,4,6
06.16(Mon),08:05,NYYvsLAA,Yankee Stadium,0,1
06.16(Mon),08:35,TBvsBAL,George M. Steinbrenner Field,7,1
06.16(Mon),10:40,SEAvsBOS,T-Mobile Park,0,2
06.16(Mon),11:05,OAKvsHOU,Sutter Health Park,3,1
06.16(Mon),11:10,LADvsSD,Dodger Stadium,6,3
06.17(Tue),07:10,MIAvsPHI,loanDepot park,8,3
06.17(Tue),07:40,DETvsPIT,Comerica Park,7,3
06.17(Tue),07:45,WSHvsCOL,Nationals Park,6,10
06.17(Tue),08:05,NYYvsLAA,Yankee Stadium,0,4
06.17(Tue),08:07,TORvsARI,Rogers Centre,5,4
06.17(Tue),08:10,CINvsMIN,Great American Ball Park,6,5
06.17(Tue),08:15,ATLvsNYM,Truist Park,5,4
06.17(Tue),08:35,TBvsBAL,George M. Steinbrenner Field,1,5
06.17(Tue),08:40,CWSvsSTL,Rate Field,2,12
06.17(Tue),09:05,TEXvsKC,Globe Life Field,1,6
06.17(Tue),09:05,CHCvsMIL,Wrigley Field,5,3
06.17(Tue),10:40,SEAvsBOS,T-Mobile Park,8,0
06.17(Tue),10:45,SFvsCLE,Oracle Park,2,3
06.17(Tue),11:05,OAKvsHOU,Sutter Health Park,3,13
06.17(Tue),11:10,LADvsSD,Dodger Stadium,8,6
06.18(Wed),05:10,SEAvsBOS,T-Mobile Park,1,3
06.18(Wed),07:40,MIAvsPHI,loanDepot park,2,4
06.18(Wed),07:45,WSHvsCOL,Nationals Park,1,3
06.18(Wed),08:05,NYYvsLAA,Yankee Stadium,2,3
06.18(Wed),08:07,TORvsARI,Rogers Centre,8,1
06.18(Wed),08:10,CINvsMIN,Great American Ball Park,-,-
06.18(Wed),08:15,ATLvsNYM,Truist Park,5,0
06.18(Wed),08:35,TBvsBAL,George M. Steinbrenner Field,12,8
06.18(Wed),09:05,TEXvsKC,Globe Life Field,3,6
06.18(Wed),10:45,SFvsCLE,Oracle Park,2,4
06.18(Wed),11:05,OAKvsHOU,Sutter Health Park,4,11
06.18(Wed),11:10,LADvsSD,Dodger Stadium,4,3
06.18(Wed),07:40,DETvsPIT,Comerica Park,-,-
06.18(Wed),08:40,CWSvsSTL,Rate Field,-,-
06.18(Wed),09:05,CHCvsMIL,Wrigley Field,-,-
06.19(Thu),01:40,CINvsMIN,Great American Ball Park,5,12
06.19(Thu),02:05,WSHvsCOL,Nationals Park,4,3
06.19(Thu),02:05,NYYvsLAA,Yankee Stadium,7,3
06.19(Thu),02:10,DETvsPIT,Comerica Park,9,2
06.19(Thu),07:10,DETvsPIT,Comerica Park,4,8
06.19(Thu),03:10,CWSvsSTL,Rate Field,4,5
06.19(Thu),03:15,CWSvsSTL,Rate Field,6,8
06.19(Thu),03:20,CHCvsMIL,Wrigley Field,7,8
06.19(Thu),03:35,TEXvsKC,Globe Life Field,1,4
06.19(Thu),04:07,TORvsARI,Rogers Centre,5,9
06.19(Thu),05:05,SFvsCLE,Oracle Park,2,1
06.19(Thu),07:40,MIAvsPHI,loanDepot park,1,2
06.19(Thu),08:15,ATLvsNYM,Truist Park,7,1
06.19(Thu),08:35,TBvsBAL,George M. Steinbrenner Field,1,4
06.19(Thu),11:05,OAKvsHOU,Sutter Health Park,6,4
06.19(Thu),11:10,LADvsSD,Dodger Stadium,3,5
06.20(Fri),03:20,CHCvsSEA,Wrigley Field,4,9
06.20(Fri),07:40,PITvsTEX,PNC Park,2,6
06.20(Fri),08:05,TBvsDET,George M. Steinbrenner Field,14,8
06.20(Fri),08:05,NYYvsBAL,Yankee Stadium,3,5
06.20(Fri),08:07,TORvsCWS,Rogers Centre,1,7
06.20(Fri),08:10,MIAvsATL,loanDepot park,6,2
06.20(Fri),08:15,STLvsCIN,Busch Stadium,6,1
06.20(Fri),08:15,PHIvsNYM,Citizens Bank Park,10,2
06.20(Fri),09:10,MINvsMIL,Target Field,6,17
06.20(Fri),09:40,COLvsARI,Coors Field,8,14
06.20(Fri),10:38,LAAvsHOU,Angel Stadium,2,3
06.20(Fri),10:40,SDvsKC,Petco Park,5,6
06.20(Fri),11:05,OAKvsCLE,Sutter Health Park,5,1
06.20(Fri),11:10,LADvsWSH,Dodger Stadium,6,5
06.20(Fri),11:15,SFvsBOS,Oracle Park,5,7
06.21(Sat),01:10,TBvsDET,George M. Steinbrenner Field,8,3
06.21(Sat),02:05,NYYvsBAL,Yankee Stadium,9,0
06.21(Sat),03:10,MINvsMIL,Target Field,0,9
06.21(Sat),03:15,STLvsCIN,Busch Stadium,6,5
06.21(Sat),03:20,CHCvsSEA,Wrigley Field,10,7
06.21(Sat),04:07,TORvsCWS,Rogers Centre,7,1
06.21(Sat),05:05,SFvsBOS,Oracle Park,3,2
06.21(Sat),05:05,PITvsTEX,PNC Park,2,3
06.21(Sat),05:10,MIAvsATL,loanDepot park,0,7
06.21(Sat),08:15,SDvsKC,Petco Park,5,1
06.21(Sat),08:15,PHIvsNYM,Citizens Bank Park,4,11
06.21(Sat),10:10,COLvsARI,Coors Field,3,5
06.21(Sat),10:38,LAAvsHOU,Angel Stadium,9,1
06.21(Sat),11:05,OAKvsCLE,Sutter Health Park,2,4
06.21(Sat),11:10,LADvsWSH,Dodger Stadium,3,7
06.22(Sun),00:35,NYYvsBAL,Yankee Stadium,4,2
06.22(Sun),01:10,TBvsDET,George M. Steinbrenner Field,3,9
06.22(Sun),02:35,PITvsTEX,PNC Park,8,3
06.22(Sun),02:37,TORvsCWS,Rogers Centre,2,4
06.22(Sun),02:40,MIAvsATL,loanDepot park,5,3
06.22(Sun),03:10,MINvsMIL,Target Field,8,9
06.22(Sun),03:15,STLvsCIN,Busch Stadium,1,4
06.22(Sun),03:20,CHCvsSEA,Wrigley Field,6,14
06.22(Sun),04:10,COLvsARI,Coors Field,4,2
06.22(Sun),05:05,OAKvsCLE,Sutter Health Park,0,3
06.22(Sun),05:05,SFvsBOS,Oracle Park,9,5
06.22(Sun),05:07,LAAvsHOU,Angel Stadium,7,8
06.22(Sun),05:10,LADvsWSH,Dodger Stadium,13,7
06.22(Sun),05:10,SDvsKC,Petco Park,3,2
06.22(Sun),08:10,PHIvsNYM,Citizens Bank Park,7,1
06.23(Mon),07:35,BALvsTEX,Oriole Park at Camden Yards,6,0
06.23(Mon),08:10,NYMvsATL,Citi Field,2,3
06.23(Mon),08:10,CINvsNYY,Great American Ball Park,6,1
06.23(Mon),08:40,MINvsSEA,Target Field,2,11
06.23(Mon),08:40,CWSvsARI,Rate Field,0,10
06.23(Mon),08:40,MILvsPIT,American Family Field,4,5
06.23(Mon),08:45,STLvsCHC,Busch Stadium,8,2
06.23(Mon),10:38,LAAvsBOS,Angel Stadium,9,5
06.23(Mon),10:40,SDvsWSH,Petco Park,6,10
06.24(Tue),07:35,BALvsTEX,Oriole Park at Camden Yards,5,6
06.24(Tue),07:40,DETvsOAK,Comerica Park,11,4
06.24(Tue),07:40,CLEvsTOR,Progressive Field,6,10
06.24(Tue),08:10,NYMvsATL,Citi Field,4,7
06.24(Tue),08:10,CINvsNYY,Great American Ball Park,5,4
06.24(Tue),08:40,KCvsTB,Kauffman Stadium,1,5
06.24(Tue),08:40,MINvsSEA,Target Field,5,6
06.24(Tue),08:40,CWSvsARI,Rate Field,1,4
06.24(Tue),08:40,MILvsPIT,American Family Field,9,3
06.24(Tue),08:45,STLvsCHC,Busch Stadium,8,7
06.24(Tue),09:10,HOUvsPHI,Daikin Park,1,0
06.24(Tue),09:40,COLvsLAD,Coors Field,7,9
06.24(Tue),10:38,LAAvsBOS,Angel Stadium,3,2
06.24(Tue),10:40,SDvsWSH,Petco Park,4,3
06.24(Tue),10:45,SFvsMIA,Oracle Park,2,4
06.25(Wed),03:10,CWSvsARI,Rate Field,7,3
06.25(Wed),03:10,MILvsPIT,American Family Field,4,2
06.25(Wed),05:07,LAAvsBOS,Angel Stadium,5,2
06.25(Wed),05:10,SDvsWSH,Petco Park,1,0
06.25(Wed),07:35,BALvsTEX,Oriole Park at Camden Yards,0,7
06.25(Wed),07:40,DETvsOAK,Comerica Park,0,3
06.25(Wed),07:40,CLEvsTOR,Progressive Field,5,4
06.25(Wed),08:10,NYMvsATL,Citi Field,7,3
06.25(Wed),08:10,CINvsNYY,Great American Ball Park,1,7
06.25(Wed),08:40,KCvsTB,Kauffman Stadium,0,3
06.25(Wed),08:40,MINvsSEA,Target Field,2,0
06.25(Wed),08:45,STLvsCHC,Busch Stadium,0,8
06.25(Wed),09:10,HOUvsPHI,Daikin Park,2,0
06.25(Wed),09:40,COLvsLAD,Coors Field,1,8
06.25(Wed),10:45,SFvsMIA,Oracle Park,5,8
06.26(Thu),02:10,DETvsOAK,Comerica Park,8,0
06.26(Thu),02:10,CLEvsTOR,Progressive Field,0,6
06.26(Thu),02:10,MINvsSEA,Target Field,10,1
06.26(Thu),03:10,KCvsTB,Kauffman Stadium,0,4
06.26(Thu),03:10,HOUvsPHI,Daikin Park,2,1
06.26(Thu),03:15,STLvsCHC,Busch Stadium,0,3
06.26(Thu),04:10,COLvsLAD,Coors Field,1,3
06.26(Thu),04:45,SFvsMIA,Oracle Park,5,12
06.26(Thu),08:10,NYMvsATL,Citi Field,4,0
06.27(Fri),07:40,PITvsNYM,PNC Park,9,1
06.27(Fri),08:05,BALvsTB,Oriole Park at Camden Yards,22,8
06.27(Fri),08:05,NYYvsOAK,Yankee Stadium,3,0
06.27(Fri),08:10,CINvsSD,Great American Ball Park,8,1
06.27(Fri),08:10,CLEvsSTL,Progressive Field,0,5
06.27(Fri),08:10,BOSvsTOR,Fenway Park,0,9
06.27(Fri),08:10,DETvsMIN,Comerica Park,1,4
06.27(Fri),08:15,ATLvsPHI,Truist Park,0,13
06.27(Fri),08:40,CWSvsSF,Rate Field,1,3
06.27(Fri),09:05,TEXvsSEA,Globe Life Field,6,7
06.27(Fri),09:10,HOUvsCHC,Daikin Park,7,4
06.27(Fri),09:10,KCvsLAD,Kauffman Stadium,4,5
06.27(Fri),09:10,MILvsCOL,American Family Field,10,6
06.27(Fri),10:38,LAAvsWSH,Angel Stadium,9,15
06.27(Fri),10:40,ARIvsMIA,Chase Field,8,9
06.28(Sat),02:05,NYYvsOAK,Yankee Stadium,0,7
06.28(Sat),02:10,DETvsMIN,Comerica Park,10,5
06.28(Sat),05:05,PITvsNYM,PNC Park,9,2
06.28(Sat),05:05,BALvsTB,Oriole Park at Camden Yards,3,11
06.28(Sat),05:05,TEXvsSEA,Globe Life Field,3,2
06.28(Sat),05:10,KCvsLAD,Kauffman Stadium,9,5
06.28(Sat),05:10,CINvsSD,Great American Ball Park,4,6
06.28(Sat),05:10,CLEvsSTL,Progressive Field,6,9
06.28(Sat),05:10,BOSvsTOR,Fenway Park,15,1
06.28(Sat),05:10,CWSvsSF,Rate Field,1,0
06.28(Sat),05:10,ARIvsMIA,Chase Field,7,8
06.28(Sat),05:10,MILvsCOL,American Family Field,5,0
06.28(Sat),08:15,HOUvsCHC,Daikin Park,3,12
06.28(Sat),08:15,ATLvsPHI,Truist Park,6,1
06.28(Sat),10:38,LAAvsWSH,Angel Stadium,8,2
06.29(Sun),01:05,CLEvsSTL,Progressive Field,0,7
06.29(Sun),02:35,PITvsNYM,PNC Park,12,1
06.29(Sun),02:35,BALvsTB,Oriole Park at Camden Yards,5,1
06.29(Sun),02:35,BOSvsTOR,Fenway Park,3,5
06.29(Sun),02:35,ATLvsPHI,Truist Park,1,2
06.29(Sun),02:35,NYYvsOAK,Yankee Stadium,12,5
06.29(Sun),02:40,CINvsSD,Great American Ball Park,3,2
06.29(Sun),03:10,HOUvsCHC,Daikin Park,2,0
06.29(Sun),03:10,KCvsLAD,Kauffman Stadium,1,5
06.29(Sun),03:10,CWSvsSF,Rate Field,5,2
06.29(Sun),03:10,MILvsCOL,American Family Field,3,4
06.29(Sun),03:35,TEXvsSEA,Globe Life Field,4,6
06.29(Sun),05:07,LAAvsWSH,Angel Stadium,4,7
06.29(Sun),05:10,ARIvsMIA,Chase Field,4,6
06.29(Sun),08:10,DETvsMIN,Comerica Park,3,0
06.30(Mon),07:35,PHIvsSD,Citizens Bank Park,4,0
06.30(Mon),07:40,PITvsSTL,PNC Park,7,0
06.30(Mon),08:07,TORvsNYY,Rogers Centre,5,4
06.30(Mon),08:10,BOSvsCIN,Fenway Park,13,6
06.30(Mon),08:35,TBvsOAK,George M. Steinbrenner Field,4,6
06.30(Mon),09:05,TEXvsBAL,Globe Life Field,6,10
06.30(Mon),10:40,SEAvsKC,T-Mobile Park,6,2
06.30(Mon),10:40,ARIvsSF,Chase Field,4,2
07.01(Tue),04:07,TORvsNYY,Rogers Centre,12,5
07.01(Tue),07:40,PITvsSTL,PNC Park,1,0
07.01(Tue),07:40,MIAvsMIN,loanDepot park,2,0
07.01(Tue),08:05,TBvsOAK,George M. Steinbrenner Field,3,4
07.01(Tue),08:10,BOSvsCIN,Fenway Park,5,3
07.01(Tue),08:15,ATLvsLAA,Truist Park,0,4
07.01(Tue),09:05,CHCvsCLE,Wrigley Field,5,2
07.01(Tue),09:05,TEXvsBAL,Globe Life Field,10,2
07.01(Tue),09:40,COLvsHOU,Coors Field,5,6
07.01(Tue),10:40,SEAvsKC,T-Mobile Park,3,6
07.01(Tue),10:40,ARIvsSF,Chase Field,8,2
07.01(Tue),11:10,LADvsCWS,Dodger Stadium,6,1
07.01(Tue),07:35,PHIvsSD,Citizens Bank Park,-,-
07.01(Tue),07:45,WSHvsDET,Nationals Park,-,-
07.01(Tue),08:10,NYMvsMIL,Citi Field,-,-
07.02(Wed),01:10,TBvsOAK,George M. Steinbrenner Field,6,5
07.02(Wed),01:35,PITvsSTL,PNC Park,5,0
07.02(Wed),02:05,WSHvsDET,Nationals Park,2,11
07.02(Wed),07:45,WSHvsDET,Nationals Park,9,4
07.02(Wed),02:05,PHIvsSD,Citizens Bank Park,4,6
07.02(Wed),07:15,PHIvsSD,Citizens Bank Park,5,1
07.02(Wed),02:10,NYMvsMIL,Citi Field,2,7
07.02(Wed),08:10,NYMvsMIL,Citi Field,7,3
07.02(Wed),03:30,BOSvsCIN,Fenway Park,5,3
07.02(Wed),07:40,MIAvsMIN,loanDepot park,1,2
